DIM_COUNTRY_CODE,DIM_YEAR_CODE,DIM_GHECAUSE_TITLE,DIM_SEX_CODE,VAL_DTHS_RATE100K_NUMERIC
AFG,2021,Syphilis,MLE,1.530000000
AFG,2021,Genital herpes,MLE,0.000000000
AFG,2021,Diphtheria,MLE,0.110000000
AFG,2021,African trypanosomiasis,MLE,0.000000000
AFG,2021,Dengue,MLE,0.000000000
AFG,2021,Rabies,MLE,0.290000000
AFG,2021,Lower respiratory infections,MLE,30.510000000
AFG,2021,Vitamin A deficiency,MLE,0.000000000
AFG,2021,Liver cancer,MLE,2.190000000
AFG,2021,Bladder cancer,MLE,0.940000000
AFG,2021,Larynx cancer,MLE,0.640000000
AFG,2021,Thalassaemias,MLE,0.170000000
AFG,2021,Bipolar disorder,MLE,0.000000000
AFG,2021,Rheumatic heart disease,MLE,1.620000000
AFG,2021,Urolithiasis,MLE,0.040000000
AFG,2021,Back and neck pain,MLE,0.000000000
AFG,2021,Oral conditions,MLE,0.000000000
AFG,2021,Sudden infant death syndrome,MLE,0.310000000
AFG,2021,"Fire, heat and hot substances",MLE,0.820000000
AFG,2021,Tuberculosis,MLE,17.290000000
AFG,2021,HIV/AIDS,MLE,2.580000000
AFG,2021,Acute hepatitis B,MLE,2.380000000
AFG,2021,Onchocerciasis,MLE,0.000000000
AFG,2021,Protein-energy malnutrition,MLE,1.090000000
AFG,2021,Stomach cancer,MLE,4.870000000
AFG,2021,Ovary cancer,MLE,0.000000000
AFG,2021,Childhood behavioural disorders,MLE,0.000000000
AFG,2021,Non-migraine headache,MLE,0.000000000
AFG,2021,Chronic obstructive pulmonary disease,MLE,7.870000000
AFG,2021,Gastritis and duodenitis,MLE,0.060000000
AFG,2021,Inflammatory bowel disease,MLE,0.060000000
AFG,2021,Kidney diseases,MLE,9.260000000
AFG,2021,Osteoarthritis,MLE,0.000000000
AFG,2021,Poisonings,MLE,2.880000000
AFG,2021,Exposure to mechanical forces,MLE,8.360000000
AFG,2021,Collective violence and legal intervention,MLE,197.710000000
AFG,2021,Trichomoniasis,MLE,0.000000000
AFG,2021,Meningitis,MLE,3.810000000
AFG,2021,Leishmaniasis,MLE,0.020000000
AFG,2021,Yellow fever,MLE,0.000000000
AFG,2021,Trichuriasis,MLE,0.000000000
AFG,2021,Mouth and oropharynx cancers,MLE,2.780000000
AFG,2021,Cervix uteri cancer,MLE,0.000000000
AFG,2021,Testicular cancer,MLE,0.230000000
AFG,2021,Kidney cancer,MLE,1.060000000
AFG,2021,Diabetes mellitus,MLE,4.530000000
AFG,2021,Eating disorders,MLE,0.000000000
AFG,2021,Multiple sclerosis,MLE,0.060000000
AFG,2021,Other vision loss,MLE,0.000000000
AFG,2021,Self-harm,MLE,4.810000000
AFG,2021,Chlamydia,MLE,0.000000000
AFG,2021,Measles,MLE,38.080000000
AFG,2021,Acute hepatitis E,MLE,0.090000000
AFG,2021,Chagas disease,MLE,0.000000000
AFG,2021,Echinococcosis,MLE,1.120000000
AFG,2021,Food-bourne trematodes,MLE,0.000000000
AFG,2021,Leprosy,MLE,0.000000000
AFG,2021,Maternal conditions,MLE,0.000000000
AFG,2021,Birth asphyxia and birth trauma,MLE,27.900000000
AFG,2021,Melanoma and other skin cancers,MLE,0.590000000
AFG,2021,Brain and nervous system cancers,MLE,2.430000000
AFG,2021,Thyroid cancer,MLE,0.120000000
AFG,2021,Sickle cell disorders and trait,MLE,0.360000000
AFG,2021,Drug use disorders,MLE,1.690000000
AFG,2021,Parkinson disease,MLE,1.140000000
