DIM_COUNTRY_CODE,DIM_YEAR_CODE,DIM_GHECAUSE_TITLE,DIM_SEX_CODE,VAL_DTHS_RATE100K_NUMERIC
AFG,2021,Syphilis,FMLE,1.400000000
AFG,2021,Genital herpes,FMLE,0.000000000
AFG,2021,Diphtheria,FMLE,0.100000000
AFG,2021,African trypanosomiasis,FMLE,0.000000000
AFG,2021,Dengue,FMLE,0.000000000
AFG,2021,Rabies,FMLE,0.050000000
AFG,2021,Lower respiratory infections,FMLE,35.800000000
AFG,2021,Vitamin A deficiency,FMLE,0.000000000
AFG,2021,Liver cancer,FMLE,1.790000000
AFG,2021,Bladder cancer,FMLE,0.200000000
AFG,2021,Larynx cancer,FMLE,0.180000000
AFG,2021,Thalassaemias,FMLE,0.220000000
AFG,2021,Bipolar disorder,FMLE,0.000000000
AFG,2021,Rheumatic heart disease,FMLE,1.980000000
AFG,2021,Urolithiasis,FMLE,0.080000000
AFG,2021,Back and neck pain,FMLE,0.000000000
AFG,2021,Oral conditions,FMLE,0.000000000
AFG,2021,Sudden infant death syndrome,FMLE,0.340000000
AFG,2021,"Fire, heat and hot substances",FMLE,2.160000000
AFG,2021,Tuberculosis,FMLE,33.050000000
AFG,2021,HIV/AIDS,FMLE,1.170000000
AFG,2021,Acute hepatitis B,FMLE,3.500000000
AFG,2021,Onchocerciasis,FMLE,0.000000000
AFG,2021,Protein-energy malnutrition,FMLE,2.090000000
AFG,2021,Stomach cancer,FMLE,3.740000000
AFG,2021,Ovary cancer,FMLE,1.800000000
AFG,2021,Childhood behavioural disorders,FMLE,0.000000000
AFG,2021,Non-migraine headache,FMLE,0.000000000
AFG,2021,Chronic obstructive pulmonary disease,FMLE,18.990000000
AFG,2021,Gastritis and duodenitis,FMLE,0.160000000
AFG,2021,Inflammatory bowel disease,FMLE,0.150000000
AFG,2021,Kidney diseases,FMLE,24.080000000
AFG,2021,Osteoarthritis,FMLE,0.000000000
AFG,2021,Poisonings,FMLE,2.110000000
AFG,2021,Exposure to mechanical forces,FMLE,2.420000000
AFG,2021,Collective violence and legal intervention,FMLE,44.380000000
AFG,2021,Trichomoniasis,FMLE,0.000000000
AFG,2021,Meningitis,FMLE,3.950000000
AFG,2021,Leishmaniasis,FMLE,0.010000000
AFG,2021,Yellow fever,FMLE,0.000000000
AFG,2021,Trichuriasis,FMLE,0.000000000
AFG,2021,Mouth and oropharynx cancers,FMLE,1.560000000
AFG,2021,Cervix uteri cancer,FMLE,4.220000000
AFG,2021,Testicular cancer,FMLE,0.000000000
AFG,2021,Kidney cancer,FMLE,0.510000000
AFG,2021,Diabetes mellitus,FMLE,22.190000000
AFG,2021,Eating disorders,FMLE,0.000000000
AFG,2021,Multiple sclerosis,FMLE,0.140000000
AFG,2021,Other vision loss,FMLE,0.000000000
AFG,2021,Self-harm,FMLE,2.360000000
AFG,2021,Chlamydia,FMLE,0.000000000
AFG,2021,Measles,FMLE,34.070000000
AFG,2021,Acute hepatitis E,FMLE,0.050000000
AFG,2021,Chagas disease,FMLE,0.000000000
AFG,2021,Echinococcosis,FMLE,1.110000000
AFG,2021,Food-bourne trematodes,FMLE,0.000000000
AFG,2021,Leprosy,FMLE,0.000000000
AFG,2021,Maternal conditions,FMLE,60.270000000
AFG,2021,Birth asphyxia and birth trauma,FMLE,23.130000000
AFG,2021,Melanoma and other skin cancers,FMLE,0.660000000
AFG,2021,Brain and nervous system cancers,FMLE,2.000000000
AFG,2021,Thyroid cancer,FMLE,0.230000000
AFG,2021,Sickle cell disorders and trait,FMLE,0.530000000
AFG,2021,Drug use disorders,FMLE,1.030000000
AFG,2021,Parkinson disease,FMLE,1.850000000
AFG,2021,Uncorrected refractive errors,FMLE,0.000000000
AFG,2021,Stroke,FMLE,56.720000000
AFG,2021,Cirrhosis of the liver,FMLE,15.600000000
AFG,2021,Gynecological diseases,FMLE,0.140000000
AFG,2021,Drowning,FMLE,2.110000000
AFG,2021,Whooping cough,FMLE,1.730000000
AFG,2021,Malaria,FMLE,0.270000000
AFG,2021,Trachoma,FMLE,0.000000000
AFG,2021,Upper respiratory infections,FMLE,0.070000000
AFG,2021,Iron-deficiency anaemia,FMLE,0.000000000
AFG,2021,Pancreas cancer,FMLE,0.700000000
AFG,2021,"Lymphomas, multiple myeloma",FMLE,1.350000000
AFG,2021,Schizophrenia,FMLE,0.000000000
AFG,2021,Glaucoma,FMLE,0.000000000
AFG,2021,Hypertensive heart disease,FMLE,22.520000000
AFG,2021,Asthma,FMLE,10.210000000
AFG,2021,Paralytic ileus and intestinal obstruction,FMLE,0.650000000
AFG,2021,Pancreatitis,FMLE,0.440000000
AFG,2021,Benign prostatic hyperplasia,FMLE,0.000000000
AFG,2021,Gout,FMLE,0.000000000
AFG,2021,Falls,FMLE,7.600000000
AFG,2021,Diarrhoeal diseases,FMLE,6.990000000
AFG,2021,Acute hepatitis C,FMLE,0.060000000
AFG,2021,Iodine deficiency,FMLE,0.000000000
AFG,2021,Colon and rectum cancers,FMLE,1.680000000
AFG,2021,Prostate cancer,FMLE,0.000000000
AFG,2021,Depressive disorders,FMLE,0.000000000
AFG,2021,Autism and Asperger syndrome,FMLE,0.000000000
AFG,2021,Idiopathic intellectual disability,FMLE,0.000000000
AFG,2021,Migraine,FMLE,0.000000000
AFG,2021,Other hearing loss,FMLE,0.000000000
AFG,2021,Rheumatoid arthritis,FMLE,0.220000000
AFG,2021,Road injury,FMLE,10.590000000
AFG,2021,Interpersonal violence,FMLE,3.310000000
AFG,2021,Encephalitis,FMLE,0.320000000
AFG,2021,Acute hepatitis A,FMLE,1.960000000
AFG,2021,Lymphatic filariasis,FMLE,0.000000000
AFG,2021,Hookworm disease,FMLE,0.000000000
AFG,2021,COVID-19,FMLE,68.410000000
AFG,2021,Oesophagus cancer,FMLE,2.010000000
AFG,2021,Breast cancer,FMLE,9.190000000
AFG,2021,Corpus uteri cancer,FMLE,0.890000000
AFG,2021,Gallbladder and biliary tract cancer,FMLE,0.360000000
